Date,Class,OAS,WARF,ER_M,Trl_12M_ER
6/30/2014,HY,335.7450988,2713.441446,-1.109554565,-2.694129195
7/31/2014,HY,384.6343974,2705.153486,0.760680962,-5.140046994
8/29/2014,HY,361.0710394,2704.904334,-1.648906071,-6.868274413
9/30/2014,HY,423.0734954,2706.160209,0.32460352,-4.318839814
10/31/2014,HY,412.3588505,2648.940808,-1.366783454,-4.81463601
11/26/2014,HY,445.2076439,2635.436145,-1.288023731,-5.877499579
12/31/2014,HY,480.541305,2613.58893,-1.274254381,-7.856675931
1/30/2015,HY,505.2595083,2604.096867,3.432644295,-10.98300788
2/27/2015,HY,427.0205039,2578.28293,-1.087588396,-6.4252079
3/31/2015,HY,460.8719186,2575.172725,1.343932154,-4.172820447
4/30/2015,HY,436.0156292,2583.940988,0.293827959,-3.762626135
5/29/2015,HY,428.4691131,2568.133229,-0.97712577,-3.377306324
6/30/2015,HY,467.1765439,2560.615396,-1.116932011,0.232775821
7/31/2015,HY,509.204801,2596.340767,-1.772078274,4.585877901
8/31/2015,HY,543.7469672,2594.817773,-3.440737628,8.909945059
6/30/1997,FA,98.43438851,1351.702971,-0.090523771,1.02241314
7/31/1997,FA,108.4176826,1133.40809,0.343662129,-4.799652361
8/29/1997,FA,99.11014817,1102.027493,0.106530071,-5.212332641
9/30/1997,FA,113.4760658,1097.996259,-1.105226986,-6.80002881
10/31/1997,FA,110.3447616,1119.201237,-0.049076333,-4.357494746
11/26/1997,FA,133.8650871,1110.444963,0.414922739,-4.813608484
12/31/1997,FA,128.4611607,1290.819238,-0.467673542,-3.35601435
1/30/1998,FA,107.2378245,1415.455178,0.549473621,-2.860399704
2/27/1998,FA,135.5675733,1415.455044,0.797259673,-3.263538988
3/31/1998,FA,164.6244329,1225.877373,0.725576431,-3.019584302
4/30/1998,FA,169.6750879,1089.394103,0.009124777,-2.85711175
5/29/1998,FA,187.934931,1195.719809,-0.253179417,-2.868574564
6/30/1998,FA,207.5928355,1318.686282,-0.037791273,-1.867160392
7/31/1998,FA,202.0690881,1260.925262,-5.439285984,2.644817206
8/31/1998,FA,298.8966401,1306.389388,-0.327417829,2.0579078
9/30/1998,FA,311.5978234,1336.417034,-2.761717294,5.489832209
10/30/1998,FA,369.5812676,1362.88706,2.570383015,4.192373638
11/30/1998,FA,345.99678,1346.789139,-0.063950389,6.249222895
12/31/1998,FA,345.550759,1355.010617,1.056470118,5.043335819
1/29/1999,FA,329.4077673,1405.699703,1.065116591,3.414279753
2/26/1999,FA,315.7011784,1389.401637,0.378940729,-0.79130229
3/31/1999,FA,331.4569574,1529.056996,0.97959106,-0.642508995
4/30/1999,FA,324.3290639,1597.54084,0.176671365,-0.058124531
5/28/1999,FA,324.1791519,1582.499897,-0.264949494,0.886683965
6/30/1999,FA,337.7496059,1745.296126,0.99280796,-0.47993801
7/30/1999,FA,320.0497004,1744.02216,-1.09154852,0.621919549
8/31/1999,FA,348.4260263,1727.764392,-0.89733239,2.908670878
9/30/1999,FA,369.1059161,1765.794434,0.508136489,-1.540780156
10/29/1999,FA,367.0214041,1803.954261,1.308831832,-4.050700057
11/30/1999,FA,387.5645977,1770.092938,1.908875282,-10.03315186
12/31/1999,FA,359.5512051,1916.84667,-0.090481248,0.008671708
1/31/2000,FA,371.7160186,1986.059542,-0.502243584,0.112851882
2/29/2000,FA,460.252388,1910.872342,-3.703202198,3.530861067
3/31/2000,FA,542.8815329,1911.131914,1.131040343,3.597242611
4/28/2000,FA,517.6232748,1890.741579,0.765873948,7.254275648
5/31/2000,FA,516.9850509,1894.549157,0.677903767,7.139842701
6/30/2000,FA,512.194951,1975.296692,-0.375251583,8.036793204
7/31/2000,FA,515.8505983,1980.694159,0.003537463,10.17156929
8/31/2000,FA,513.6376717,2023.429969,1.354892154,3.047546864
9/29/2000,FA,584.0735258,1880.531126,-3.8375229,7.92153858
10/31/2000,FA,613.7588976,2352.014078,-1.273730305,14.63496384
11/30/2000,FA,657.5179128,2226.441042,-4.44515685,22.26682643
12/29/2000,FA,826.4613604,2419.751791,11.06111271,11.47460629
1/31/2001,FA,676.9989003,2490.533759,-0.398595636,10.9249228
2/28/2001,FA,636.3565466,2681.026085,-0.415479062,16.17490675
3/30/2001,FA,636.3565466,2681.026085,1.195883178,14.39047347
4/30/2001,FA,549.0098262,2668.813733,4.322958295,9.790345312
5/31/2001,FA,570.6896589,2279.550415,0.570487357,3.826766453
6/29/2001,FA,561.6056695,2098.138237,0.458784252,-6.938820278
7/31/2001,FA,535.4842329,1932.689507,1.97957872,-6.894188553
8/31/2001,FA,507.3786231,1966.849732,-5.199017623,-6.779605499
9/28/2001,FA,649.9998841,1950.284024,0.710815523,-5.684551544
10/31/2001,FA,649.1942903,1913.90052,4.867689113,-2.718540345
11/30/2001,FA,549.2759601,1939.34508,1.916440073,-4.4404295
12/31/2001,FA,544.9376467,2217.333646,1.257995929,0.728938126
1/31/2002,FA,514.3794468,1980.0017,-0.889732128,0.932502752
2/28/2002,FA,534.5891202,1867.484671,4.297773136,0.244626557
3/28/2002,FA,453.4833158,2016.185734,-0.358474008,7.425440543
4/30/2002,FA,454.9724453,1978.746954,0.127687801,6.057850795
5/31/2002,FA,508.5581668,2031.807338,-4.892288359,15.40005675
6/28/2002,FA,816.0269751,3717.450339,-9.957583238,30.12505677
7/31/2002,FA,846.0897099,3738.224127,2.028487669,28.20607968
8/30/2002,FA,899.1705417,2068.55778,-5.082348363,35.66231227
9/30/2002,FA,999.0694286,2515.760075,1.893858969,38.38960175
10/31/2002,FA,971.7328285,2616.381191,8.165544825,30.40893464
11/27/2002,FA,833.7202224,2820.547699,0.112511416,32.22981908
12/31/2002,FA,834.0211795,2640.45006,6.735624211,25.35502889
1/31/2003,FA,704.125493,2518.115495,-0.689438697,24.16143595
2/28/2003,FA,722.4266997,2752.274399,3.586961917,19.68427678
3/31/2003,FA,651.9425675,2822.524191,6.779138132,13.88936642
4/30/2003,FA,533.9048347,2880.102442,-1.146997214,13.66209692
5/30/2003,FA,559.9531021,2782.347198,3.485364247,11.04964996
6/30/2003,FA,495.3099572,2751.639915,1.531792297,10.09490424
7/31/2003,FA,463.8383273,2670.954793,0.523855621,9.390494461
8/29/2003,FA,455.1352085,2614.297133,0.437889754,10.48734551
9/30/2003,FA,444.7553494,2800.487617,3.942283798,7.937330819
10/31/2003,FA,379.3591536,2562.673956,1.927842034,8.53106974
11/26/2003,FA,343.5803386,2550.753014,1.510370496,7.694426676
12/31/2003,FA,320.6776479,2513.634785,1.186308432,5.758623231
1/30/2004,FA,298.1336224,2408.523552,-1.635044038,10.14874497
2/27/2004,FA,328.4381669,2463.508519,-0.148298661,7.028965925
3/31/2004,FA,328.0020317,2505.617136,1.609072767,2.938689997
4/30/2004,FA,304.3549374,2552.508904,-1.344261214,5.026185044
5/28/2004,FA,332.5173484,2522.458438,1.10682265,5.267431651
6/30/2004,FA,315.0240366,2469.607137,0.658876049,7.345357147
7/30/2004,FA,327.8769505,2734.469355,-0.119316627,5.255201044
8/31/2004,FA,333.4527936,2605.000331,1.444973649,3.724830489
9/30/2004,FA,312.7520285,2542.759005,1.543327158,2.856363476
10/29/2004,FA,294.5918079,2566.338806,2.488524112,-0.728551309
11/30/2004,FA,249.4163114,2527.66298,0.727848518,-1.876573333
12/31/2004,FA,239.1148581,2494.396378,-0.632511822,1.675583477
1/31/2005,FA,250.3135263,2477.353854,2.448160892,-1.331836315
2/28/2005,FA,214.8379824,2485.812988,-2.976431162,3.970616275
3/31/2005,FA,275.5473866,2474.286737,-2.274073639,7.272414269
4/29/2005,FA,321.2716538,2459.278658,0.656379808,6.872720186
5/31/2005,FA,308.8719906,2468.93879,1.339066427,5.562197018
